fixture_id,team,stat_type,value
1035102,Burnley,expected_goals,0.65
1035097,Bournemouth,Shots on Goal,1
1035097,Bournemouth,Shots off Goal,3
1035097,Bournemouth,Total Shots,8
1035097,Bournemouth,Blocked Shots,4
1035097,Bournemouth,Shots insidebox,7
1035097,Bournemouth,Shots outsidebox,1
1035097,Bournemouth,Fouls,11
1035097,Bournemouth,Corner Kicks,6
1035097,Bournemouth,Offsides,2
1035097,Bournemouth,Ball Possession,42%
1035097,Bournemouth,Yellow Cards,0
1035097,Bournemouth,Red Cards,
1035097,Bournemouth,Goalkeeper Saves,4
1035097,Bournemouth,Total passes,389
1035097,Bournemouth,Passes accurate,317
1035097,Bournemouth,Passes %,81%
1035097,Bournemouth,expected_goals,0.65
1035097,Arsenal,Shots on Goal,8
1035097,Arsenal,Shots off Goal,3
1035097,Arsenal,Total Shots,15
1035097,Arsenal,Blocked Shots,4
1035097,Arsenal,Shots insidebox,14
1035097,Arsenal,Shots outsidebox,1
1035097,Arsenal,Fouls,10
1035097,Arsenal,Corner Kicks,6
1035097,Arsenal,Offsides,0
1035097,Arsenal,Ball Possession,58%
1035097,Arsenal,Yellow Cards,1
1035097,Arsenal,Red Cards,
1035097,Arsenal,Goalkeeper Saves,1
1035097,Arsenal,Total passes,545
1035097,Arsenal,Passes accurate,481
1035097,Arsenal,Passes %,88%
1035097,Arsenal,expected_goals,3.43
1035106,Wolves,Shots on Goal,1
1035106,Wolves,Shots off Goal,0
1035106,Wolves,Total Shots,3
1035106,Wolves,Blocked Shots,2
1035106,Wolves,Shots insidebox,3
1035106,Wolves,Shots outsidebox,0
1035106,Wolves,Fouls,18
1035106,Wolves,Corner Kicks,0
1035106,Wolves,Offsides,2
1035106,Wolves,Ball Possession,32%
